Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3
12773,T1-200-C,T1-200-C,20140807,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22478794,-148.4691739,Field community name,"Moist Eriophorum angustifolium, Dryas integrifolia, Tomenthypnum nitens, Salix arctica graminoid meadow",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-200-C_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-200-C_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-200-C_soil.JPG
12774,T1-200-T,T1-200-T,20140807,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22478943,-148.4693253,Field community name,"Very wet Carex aquatilis, Scorpidium scorpioides graminoid meadow","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-200-T_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-200-T_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T1-200-T_soil.JPG
12775,T2-005-C,T2-005-C,20140809,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.2229175,-148.4712581,Field community name,Dupontia fisheri dust,Coastal wet tundra (Carex or Eriophorum mixed with Dupontia),,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-005-C_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-005-C_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-005-C_soil.JPG
12776,T2-005-T,T2-005-T,20140809,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22287112,-148.47091,Field community name,Very wet Carex aquatilis graminoid meadow,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-005-T_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-005-T_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-005-T_soil.JPG
12777,T2-010-C,T2-010-C,20140809,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22287787,-148.4712547,Field community name,"Wet Carex aquatilis, Drepanocladus brevifolius graminoid meadow","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-010-C_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-010-C_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-010-C_soil.JPG
12778,T2-010-T,T2-010-T,20140809,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22289398,-148.4714388,Field community name,Very wet Carex aquatilis graminoid meadow,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-010-T_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-010-T_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-010-T_soil.JPG
12779,T2-025-C,T2-025-C,20140810,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22277081,-148.4714856,Field community name,"Wet Carex aquatilis, Drepanocladus brevifolius graminoid meadow","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-025-C_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-025-C_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-025-C_soil.JPG
12780,T2-025-T,T2-025-T,20140810,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22277261,-148.471635,Field community name,Very wet Carex aquatilis graminoid meadow,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-025-T_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-025-T_plot.JPG,
12781,T2-050-C,T2-050-C,20140810,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22259928,-148.4717688,Field community name,"Moist Carex aquatilis, Ochrolechia frigida graminoid meadow",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-050-C_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-050-C_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-050-C_soil.JPG
12782,T2-050-T,T2-050-T,20140810,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22258632,-148.4719727,Field community name,Very wet Carex aquatilis graminoid meadow,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-050-T_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-050-T_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-050-T_soil.JPG
12783,T2-100-C,T2-100-C,20140810,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22215089,-148.4725112,Field community name,"Wet Carex aquatilis, Drepanocladus brevifolius graminoid meadow","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-100-C_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-100-C_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-100-C_soil.JPG
12784,T2-100-T,T2-100-T,20140810,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.2220621,-148.4724173,Field community name,Very wet Carex aquatilis graminoid meadow,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-100-T_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-100-T_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-100-T_soil.JPG
12785,T2-200-C,T2-200-C,20140810,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22136117,-148.473537,Field community name,"Moist Carex aquatilis, Ochrolechia frigida graminoid meadow",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-200-C_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-200-C_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-200-C_soil.JPG
12786,T2-200-T,T2-200-T,20140810,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22136857,-148.4736727,Field community name,"Wet Carex aquatilis, Carex rariflora, Saxifraga foliolosa graminoid meadow","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-200-T_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-200-T_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/T2-200-T_soil.JPG
12787,14-1,14-1,20140812,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22315542,-148.4714481,Field community name,Carex aquatilis-Salix ovalifolia,"Coastal communities influenced by saline soils (Puccinellia andersonii, Mertensia maritima, Honkenya peploides, Salix ovalifolia, Braya purpurascens, Cochlearia communities)",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/14-1_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/14-1_soil.JPG,
12788,14-2,14-2,20140812,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.2224595,-148.4677415,Field community name,Puccinellia phryganodes,"Puccinellia phryganodes, Carex subspathacea coastal salt marsh communities",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/14-2_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/14-2_soil.JPG,
12789,14-3,14-3,20140812,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22243083,-148.4678208,Field community name,Carex aquatilis,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/14-3_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/14-3_soil.JPG,
12790,14-4,14-4,20140813,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22689676,-148.465858,Field community name,"Moist Eriophorum vaginatum, Dryas integrifolia, Tomenthypnum nitens, Thamnolia vermicularis tussock graminoid meadow",Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/14-4_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/14-4_plot.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/14-4_soil.JPG
12791,14-5,14-5,20140813,2014,Prudhoe Bay ArcSEES (Walker et al. 2015),Donald A. 'Skip' Walker,70.22610928,-148.4672873,Field community name,"Wet Carex aquatilis, Carex rariflora, Saxifraga foliolosa graminoid meadow","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"Soil, Sepctral (LAI) data",Old Braun-Blanquet,http://static.gina.alaska.edu/geobotany/pb_arcsees/14-5_location.JPG,http://static.gina.alaska.edu/geobotany/pb_arcsees/14-5_soil.JPG,
