Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3, 
"11502,11535,11568,11601",410,410,"1972, 1999, 2008, 2020","1972, 1999, 2008, 2020","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2896876,-156.6797481,Field community name,Wet Carex aquatilis-Eriophorum russeolum meadow (Webber 1978) and Wet graminoid tundra (Villarreal et al. 2012),Moist to wet coastal tundra (Carex or Eriophorum mixed with Dupontia),,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot0410a.jpg,,,
"11503,11536,11569,11602",412,412,"1972, 1999, 2008, 2021","1972, 1999, 2008, 2021","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2889426,-156.6814983,Field community name,Wet Carex aquatilis-Eriophorum russeolum meadow (Webber 1978) and Aquatic Carex graminoid tundra (Villarreal et al. 2012),Moist to wet coastal tundra (Carex or Eriophorum mixed with Dupontia),,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot0413a.jpg,,,
"11504,11537,11570,11603",1302,1302,"1972, 1999, 2008, 2022","1972, 1999, 2008, 2022","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2953685,-156.6857575,Field community name,Dry Salix rotundifolia heath (Webber 1978) and Dry dwarf shrub-graminoid tundra (Villarreal et al. 2012),"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1302a.jpg,,,
"11505,11538,11571,11604",1303,1303,"1972, 1999, 2008, 2023","1972, 1999, 2008, 2023","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2945664,-156.6891071,Field community name,Moist Carex aquatilis-Oncophorus wahlenbergii meadow (Webber 1978) and Wet graminoid tundra (Villarreal et al. 2012),"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1303a.jpg,,,
"11506,11539,11572,11605",1304,1304,"1972, 1999, 2008, 2024","1972, 1999, 2008, 2024","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2946219,-156.6882149,Field community name,Moist Carex aquatilis-Oncophorus wahlenbergii meadow (Webber 1978) and Wet graminoid tundra (Villarreal et al. 2012),"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/barrow_ibp_1304.jpg,,,
"11507,11540,11573,11606",1306,1306,"1972, 1999, 2008, 2025","1972, 1999, 2008, 2025","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.298154,-156.6626057,Field community name,Dry Salix rotundifolia heath (Webber 1978) and Dry dwarf shrub-graminoid tundra (Villarreal et al. 2012),"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1306a.jpg,,,
"11508,11541,11574,11607",1308,1308,"1972, 1999, 2008, 2026","1972, 1999, 2008, 2026","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2977749,-156.6639938,Field community name,Dry Salix rotundifolia heath (Webber 1978) and Dry dwarf shrub-graminoid tundra (Villarreal et al. 2012),"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1308a.jpg,,,
"11509,11542,11575,11608",1309,1309,"1972, 1999, 2008, 2027","1972, 1999, 2008, 2027","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2996662,-156.6651671,Field community name,Wet Dupontia fisheri-Eriophorum angustifolium meadow (Webber 1978) and Seasonally-flooded graminoid tundra (Villarreal et al. 2012),Moist to wet coastal tundra (Carex or Eriophorum mixed with Dupontia),,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1309a.jpg,,,
"11510,11543,11576,11609",1310,1310,"1972, 1999, 2008, 2028","1972, 1999, 2008, 2028","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2947088,-156.6618381,Field community name,Wet Carex aquatilis-Eriophorum russeolum meadow (Webber 1978) and Aquatic Carex graminoid tundra (Villarreal et al. 2012),Moist to wet coastal tundra (Carex or Eriophorum mixed with Dupontia),,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1310a.jpg,,,
"11511,11544,11577,11610",1311,1311,"1972, 1999, 2008, 2029","1972, 1999, 2008, 2029","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2957166,-156.6647495,Field community name,Wet Carex aquatilis-Eriophorum russeolum meadow (Webber 1978) and Aquatic Carex graminoid tundra (Villarreal et al. 2012),Moist to wet coastal tundra (Carex or Eriophorum mixed with Dupontia),,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1311a.jpg,,,
"11512,11545,11578,11611",1312,1312,"1972, 1999, 2008, 2030","1972, 1999, 2008, 2030","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2965671,-156.6629414,Field community name,Mesic Carex aquatilis-Poa arctica meadow (Webber 1978) and Dry-moist dwarf shrub-graminoid tundra (Villarreal et al. 2012),"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1312a.jpg,,,
"11513,11546,11579,11612",1313,1313,"1972, 1999, 2008, 2031","1972, 1999, 2008, 2031","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2966404,-156.6642751,Field community name,Wet Carex aquatilis-Eriophorum russeolum meadow (Webber 1978) and Wet graminoid tundra (Villarreal et al. 2012),Moist to wet coastal tundra (Carex or Eriophorum mixed with Dupontia),,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1313a.jpg,,,
"11514,11547,11580,11613",1314,1314,"1972, 1999, 2008, 2032","1972, 1999, 2008, 2032","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2948167,-156.70665,Field community name,Wet Carex aquatilis-Eriophorum russeolum meadow (Webber 1978) and Aquatic Carex graminoid tundra (Villarreal et al. 2012),Moist to wet coastal tundra (Carex or Eriophorum mixed with Dupontia),,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1314a.jpg,,,
"11515,11548,11581,11614",1315,1315,"1972, 1999, 2008, 2033","1972, 1999, 2008, 2033","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2948667,-156.7073,Field community name,Mesic Carex aquatilis-Poa arctica meadow (Webber 1978) and Aquatic Carex graminoid tundra (Villarreal et al. 2012),Moist to wet coastal tundra (Carex or Eriophorum mixed with Dupontia),,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1315a.jpg,,,
"11516,11549,11582,11615",1316,1316,"1972, 1999, 2008, 2034","1972, 1999, 2008, 2034","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2953,-156.7078667,Field community name,Mesic Carex aquatilis-Poa arctica meadow (Webber 1978) and Dry-moist dwarf shrub-graminoid tundra (Villarreal et al. 2012),"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1316a.jpg,,,
"11517,11550,11583,11616",1318,1318,"1972, 1999, 2008, 2035","1972, 1999, 2008, 2035","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.29695,-156.71065,Field community name,Mesic Carex aquatilis-Poa arctica meadow (Webber 1978) and Dry-moist dwarf shrub-graminoid tundra (Villarreal et al. 2012),"Moist and dry acidic dwarf-shrub and lichen heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, Spiraea beauverdiana, some Betula nana-lichen heaths)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1318a.jpg,,,
"11518,11551,11584,11617",1319,1319,"1972, 1999, 2008, 2036","1972, 1999, 2008, 2036","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2962167,-156.7009167,Field community name,Arctophila fulva pond margin (Webber 1978) and Pond Arctophila graminoid tundra (Villarreal et al. 2012),Aquatic grass marshes (Arctophila fulva),,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1319a.jpg,,,
"11519,11552,11585,11618",1320,1320,"1972, 1999, 2008, 2037","1972, 1999, 2008, 2037","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2979859,-156.6736344,Field community name,Arctophila pond margin (Webber 1978) and Creek Arctophila graminoid tundra (Villarreal et al. 2012),Aquatic grass marshes (Arctophila fulva),,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1320a.jpg,,,
"11520,11553,11586,11619",1321,1321,"1972, 1999, 2008, 2038","1972, 1999, 2008, 2038","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2984485,-156.6749683,Field community name,Cochlearia officinalis pioneer meadow and creek bed (Webber 1978) and Successional-dry dwarf shrub-graminoid tundra (Villarreal et al. 2012),Naturally eroding lake or river bluffs dominated by graminoids and forbs	,,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1321a.jpg,,,
"11521,11554,11587,11620",1322,1322,"1972, 1999, 2008, 2039","1972, 1999, 2008, 2039","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.29905,-156.6761167,Field community name,Arctophila creek margin (Webber 1978) and Creek Arctophila graminoid tundra (Villarreal et al. 2012),Moist to wet coastal tundra (Carex or Eriophorum mixed with Dupontia),,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1322a.jpg,,,
"11522,11555,11588,11621",1323,1323,"1972, 1999, 2008, 2040","1972, 1999, 2008, 2040","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.29675,-156.67365,Field community name,Mesic Carex aquatilis-Poa arctica meadow (Webber 1978) and Moist graminoid tundra (Villarreal et al. 2012),"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1323a.jpg,,,
"11523,11556,11589,11622",1324,1324,"1972, 1999, 2008, 2041","1972, 1999, 2008, 2041","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2883333,-156.6763833,Field community name,Mesic Carex aquatilis-Poa arctica meadow (Webber 1978) and Moist graminoid tundra (Villarreal et al. 2012),"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1324a.jpg,,,
"11524,11557,11590,11623",1325,1325,"1972, 1999, 2008, 2042","1972, 1999, 2008, 2042","Barrow IBP (Webber 1978, Villarreal et al. 2012)","Patrick Webber, Sandra Villarreal & Craig Tweedie",71.2888333,-156.6757667,Field community name,Mesic Carex aquatilis-Poa arctica meadow (Webber 1978) and Moist graminoid tundra (Villarreal et al. 2012),"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,,Percentage (%),http://static.gina.alaska.edu/geobotany/barrow_ibp/2000BrwIbpPlot1325a.jpg,,,
