Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3, 
565,87,87,19790712,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.847371,-155.988065,Field community name,Dryas integrifolia-Salix glauca,"Shallow nonacidic snowbeds (Cassiope-Dryas-Tomentypnum, and Cassiope-Dryas-lichen communities)",,,Ordinale scale (1-9),,,,
566,88,88,19790712,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.84076,-155.984332,Field community name,Salix spp.-Arctagrostis latifolia-Eriophorum angustifolium,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
567,89,89,19790713,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.840748,-155.984156,Field community name,Salix spp.-Arctagrostis latifolia-Eriophorum angustifolium,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
568,90,90,19790729,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.842943,-155.997805,Field community name,Eriophorum vaginatum-Carex aquatilis,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
569,102,102,19790731,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.842172,-155.985156,Field community name,Salix spp.-Arctagrostis latifolia,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
570,120,120,19790808,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.845267,-155.99094,Field community name,Salix spp.-Arctagrostis latifolia-Eriophorum angustifolium,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
571,121,121,19790808,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.844595,-155.989802,Field community name,Salix spp.-Arctagrostis latifolia,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
572,124,124,19790809,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.843293,-155.990716,Field community name,Dryas integrifolia-Equisetum arvense,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
573,126,126,19790809,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.843638,-155.990448,Field community name,Salix spp.-Arctagrostis latifolia-Eriophorum angustifolium,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
574,127,127,19790809,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.84378,-155.990297,Field community name,Arctagrostis latifolia,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
575,129,129,19790809,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.843355,-155.988201,Field community name,Salix spp.-Arctagrostis latifolia-Eriophorum angustifolium,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
576,136,136,19790810,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.851883,-155.987218,Field community name,Ledum palustre-Cassiope tetragona,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",,,Ordinale scale (1-9),,,,
577,137,137,19790811,1979,Oumalik (Ebersole 1985),James Jay Ebersole,69.842273,-155.984104,Field community name,Arctagrostis latifolia,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
578,154,154,19800702,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.846103,-155.988327,Field community name,Betula nana-Ledum palustre,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",,,Ordinale scale (1-9),,,,
579,155,155,19800702,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.847482,-155.990313,Field community name,Eriophorum vaginatum-Salix planifolia,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,,Ordinale scale (1-9),,,,
580,156,156,19800702,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.849412,-155.996439,Field community name,Betula nana-Ledum palustre,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",,,Ordinale scale (1-9),,,,
581,157,157,19800702,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.849429,-155.996153,Field community name,Betula nana-Ledum palustre,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",,,Ordinale scale (1-9),,,,
582,159,159,19800702,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.845854,-155.996399,Field community name,Dryas integrifolia-Eriophorum vaginatum,Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Ordinale scale (1-9),,,,
583,163,163,19800703,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.850822,-155.987842,Field community name,Betula nana-Ledum palustre,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",,,Ordinale scale (1-9),,,,
584,167,167,19800704,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.859264,-155.966552,Field community name,Salix planifolia-Carex aquatilis,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
585,168,168,19800707,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.85165,-155.992618,Field community name,Dryas integrifolia-Eriophorum vaginatum,Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Ordinale scale (1-9),,,,
586,169,169,19800707,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.850417,-155.990687,Field community name,Carex chordorrhiza-Carex rotundata,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
587,170,170,19800707,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.850404,-155.990706,Field community name,Salix planifolia-Carex aquatilis,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
588,172,172,19800708,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.850684,-156.000371,Field community name,Arctophila fulva-Eriophorum scheuchzeri,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
589,175,175,19800708,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.85213,-155.984557,Field community name,Salix planifolia-Carex aquatilis,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
590,176,176,19800708,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.852096,-155.97862,Field community name,Carex chordorrhiza-Carex rotundata,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
591,179,179,19800708,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.846354,-155.95735,Field community name,Dryas integrifolia-Carex spp.,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
592,180,180,19800711,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.849865,-155.997177,Field community name,Salix lanata-Salix planifolia,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
593,181,181,19800711,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.848102,-156.009838,Field community name,Carex chordorrhiza-Salix planifolia,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
594,183,183,19800711,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.849092,-156.011446,Field community name,Salix planifolia-Carex aquatilis,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
595,184,184,19800714,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.838901,-155.982434,Field community name,Betula nana-Ledum palustre,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",,,Ordinale scale (1-9),,,,
596,185,185,19800714,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.838771,-155.982932,Field community name,Carex aquatilis-Eriophorum angustifolium,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
597,186,186,19800714,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.841532,-155.983676,Field community name,Carex aquatilis-Eriophorum angustifolium,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
598,188,188,19800714,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.841393,-155.983562,Field community name,Salix spp.-Arctagrostis latifolia-Eriophorum angustifolium,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
599,192,192,19800716,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.843784,-155.990957,Field community name,Salix spp.-Arctagrostis latifolia,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
600,193,193,19800716,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.843804,-155.99116,Field community name,Salix spp.-Arctagrostis latifolia-Eriophorum angustifolium,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
601,195,195,19800716,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.84372,-155.989921,Field community name,Puccinellia borealis-Equisetum arvense,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
602,197,197,19800716,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.842484,-155.985678,Field community name,Salix spp.-Arctagrostis latifolia,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
603,200,200,19800716,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.842284,-155.985376,Field community name,Carex aquatilis-Eriophorum angustifolium,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
604,202,202,19800716,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.841353,-155.987195,Field community name,Salix spp.-Arctagrostis latifolia-Eriophorum angustifolium,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
605,206,206,19800718,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.837243,-155.977622,Field community name,Carex chordorrhiza-Carex rotundata,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
606,207,207,19800718,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.852213,-155.984743,Field community name,Betula nana-Ledum palustre,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",,,Ordinale scale (1-9),,,,
607,214,214,19800719,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.851737,-155.995606,Field community name,Betula nana-Carex aquatilis,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
608,215,215,19800719,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.851733,-155.995544,Field community name,Betula nana-Arctagrostis latifolia,General anthropogenically disturbed sites,,,Ordinale scale (1-9),,,,
609,218,218,19800724,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.849393,-155.950109,Field community name,Salix lanata-Salix planifolia,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
610,223,223,19800726,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.850339,-156.017849,Field community name,Salix rotundifolia,"Moderately drained deep snowbeds (Salix rotundifolia, S. polaris, S. herbacea snowbeds)",,,Ordinale scale (1-9),,,,
611,225,225,19800726,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.851762,-156.015284,Field community name,Arctagrostis latifolia,Naturally eroding lake or river bluffs dominated by graminoids and forbs,,,Ordinale scale (1-9),,,,
612,229,229,19800726,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.855181,-155.979596,Field community name,Eriophorum vaginatum-Salix planifolia,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,,Ordinale scale (1-9),,,,
613,230,230,19800726,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.853769,-155.981792,Field community name,Arctagrostis latifolia,Naturally eroding lake or river bluffs dominated by graminoids and forbs,,,Ordinale scale (1-9),,,,
614,233,233,19800729,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.854135,-155.981882,Field community name,Arctagrostis latifolia,Naturally eroding lake or river bluffs dominated by graminoids and forbs,,,Ordinale scale (1-9),,,,
615,235,235,19800729,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.854522,-155.981681,Field community name,Puccinellia borealis-Arctagrostis latifolia,Naturally eroding lake or river bluffs dominated by graminoids and forbs,,,Ordinale scale (1-9),,,,
616,236,236,19800731,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.847725,-155.969226,Field community name,Dryas integrifolia-Carex spp.,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
617,239,239,19800801,1980,Oumalik (Ebersole 1985),James Jay Ebersole,69.849682,-156.005803,Field community name,Carex aquatilis-Eriophorum angustifolium,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
618,241,241,19810629,1981,Oumalik (Ebersole 1985),James Jay Ebersole,69.847227,-155.898887,Field community name,Salix alaxensis-Salix arbusculoides,Naturally eroding lake or river bluffs dominated by shrubs,,,Ordinale scale (1-9),,,,
619,242,242,19810629,1981,Oumalik (Ebersole 1985),James Jay Ebersole,69.847483,-155.898868,Field community name,Dryas integrifolia-Salix glauca,"Dry nonacidic tundra (Dryas integrifolia, including Dryas river terraces)",,,Ordinale scale (1-9),,,,
620,243,243,19810629,1981,Oumalik (Ebersole 1985),James Jay Ebersole,69.855298,-155.979474,Field community name,Dryas integrifolia-Ochrolechia upsaliensis,"Frost boil vegetation in nonacidic tundra (Juncus biglumis, Saxifraga oppositifolia)",,,Ordinale scale (1-9),,,,
621,244,244,19810629,1981,Oumalik (Ebersole 1985),James Jay Ebersole,69.85532,-155.979369,Field community name,Dryas integrifolia-Ochrolechia upsaliensis,"Frost boil vegetation in nonacidic tundra (Juncus biglumis, Saxifraga oppositifolia)",,,Ordinale scale (1-9),,,,
622,246,246,19810630,1981,Oumalik (Ebersole 1985),James Jay Ebersole,69.843307,-155.995066,Field community name,Eriophorum angustifolium-Ochrolechia upsaliensis,"Frost boil vegetation in nonacidic tundra (Juncus biglumis, Saxifraga oppositifolia)",,,Ordinale scale (1-9),,,,
623,250,250,19810708,1981,Oumalik (Ebersole 1985),James Jay Ebersole,69.841638,-155.970799,Field community name,Carex chordorrhiza-Salix planifolia,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
624,251,251,19810708,1981,Oumalik (Ebersole 1985),James Jay Ebersole,69.841583,-155.969996,Field community name,Eriophorum russeolum-Hierochloe pauciflora,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
625,257,257,19810713,1981,Oumalik (Ebersole 1985),James Jay Ebersole,69.843207,-155.958963,Field community name,Carex chordorrhiza-Carex rotundata,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
626,258,258,19810713,1981,Oumalik (Ebersole 1985),James Jay Ebersole,69.843158,-155.958583,Field community name,Salix planifolia-Carex aquatilis,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
627,259,259,19810713,1981,Oumalik (Ebersole 1985),James Jay Ebersole,69.846939,-155.94758,Field community name,Hierochloe alpina-Arctagrostis latifolia,"Zoogenic communities associated with animal dens and bird mounds (arctic ground-squirrels, arctic foxes) (Poa glauca, Festuca rubra, Ranunculus pedatifidus, etc.)",,,Ordinale scale (1-9),,,,
628,260,260,19810713,1981,Oumalik (Ebersole 1985),James Jay Ebersole,69.846994,-155.952079,Field community name,Salix glauca-Poa arctica,"Zoogenic communities associated with animal dens and bird mounds (arctic ground-squirrels, arctic foxes) (Poa glauca, Festuca rubra, Ranunculus pedatifidus, etc.)",,,Ordinale scale (1-9),,,,
629,263,263,19810719,1981,Oumalik (Ebersole 1985),James Jay Ebersole,69.862134,-155.956668,Field community name,Dryas integrifolia-Carex spp.,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
630,264,264,19810719,1981,Oumalik (Ebersole 1985),James Jay Ebersole,69.862286,-155.95605,Field community name,Salix rotundata,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",,,Ordinale scale (1-9),,,,
631,268,268,19810804,1981,Oumalik (Ebersole 1985),James Jay Ebersole,69.844284,-156.010019,Field community name,Salix planifolia-Carex aquatilis,"Bog vegetation, acidic mires, including tussock tundra",,,Ordinale scale (1-9),,,,
632,269,269,19810804,1981,Oumalik (Ebersole 1985),James Jay Ebersole,69.843664,-156.01979,Field community name,Dryas integrifolia-Eriophorum vaginatum,Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,,Ordinale scale (1-9),,,,
