Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3,image_url4,image_url5
12709,NS-KOK-11,NS-KOK-11,20120622,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,69.535477,-161.86932,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage, , ,,,
12710,NS-KOK-12,NS-KOK-12,20120622,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,69.535477,-161.86932,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage, , ,,,
12711,NS-KOK-13,NS-KOK-13,20110716,2011,Tundra Fire (Breen et al. 2015),Amy L. Breen,69.535477,-161.86932,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage, , ,,,
12712,NS-KET-8,NS-KET-8,20110624,2011,Tundra Fire (Breen et al. 2015),Amy L. Breen,70.088653,-159.572051,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage, , ,,,
12713,NS-KET-9,NS-KET-9,20110624,2011,Tundra Fire (Breen et al. 2015),Amy L. Breen,70.088653,-159.572051,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage, , ,,,
12714,NS-KET-10,NS-KET-10,20110624,2011,Tundra Fire (Breen et al. 2015),Amy L. Breen,70.088653,-159.572051,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage, , ,,,
12715,NS-MEA-14,NS-MEA-14,20120621,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,70.082619,-157.155902,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage, , ,,,
12716,NS-MEA-15,NS-MEA-15,20120621,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,70.082619,-157.155902,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage, , ,,,
12717,NS-MEA-16,NS-MEA-16,20120621,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,70.082619,-157.155902,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage, , ,,,
12718,NS-CHA-6,NS-CHA-6,20120623,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,69.408553,-151.498869,Braun-Blanquet,TBD,Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,TBD,Percentage, , ,,,
12719,NS-CHA-7,NS-CHA-7,20120623,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,69.408553,-151.498869,Braun-Blanquet,TBD,Moist nonacidic tundra (Sedge-Dryas-Tomentypnum communities),,TBD,Percentage, , ,,,
12720,SP-DEL-1,SP-DEL-1,20120723,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.458533,-164.666047,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage,http://static.gina.alaska.edu/geobotany/tfire/SP_DEL_1.JPG, ,,,
12721,SP-DEL-2,SP-DEL-2,20120723,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.458876,-164.666537,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage,http://static.gina.alaska.edu/geobotany/tfire/SP_DEL_2.JPG, ,,,
12722,SP-DEL-3,SP-DEL-3,20120723,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.459069,-164.66727,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage,http://static.gina.alaska.edu/geobotany/tfire/SP_DEL_3.JPG, ,,,
12723,SP-DEL-4,SP-DEL-4,20120723,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.460576,-164.668775,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage,http://static.gina.alaska.edu/geobotany/tfire/SP_DEL_4.JPG, ,,,
12724,SP-DEL-5,SP-DEL-5,20120723,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.459917,-164.669609,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage,http://static.gina.alaska.edu/geobotany/tfire/SP_DEL_5.JPG, ,,,
12725,SP-DEL-6,SP-DEL-6,20120723,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.460798,-164.670729,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage,http://static.gina.alaska.edu/geobotany/tfire/SP_DEL_6.JPG, ,,,
12726,SP-DEL-7,SP-DEL-7,20120723,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.460714,-164.672019,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage,http://static.gina.alaska.edu/geobotany/tfire/SP_DEL_7.JPG, ,,,
12727,SP-DEL-8,SP-DEL-8,20120723,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.460549,-164.674974,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage,http://static.gina.alaska.edu/geobotany/tfire/SP_DEL_8.JPG, ,,,
12728,SP-DEL-9,SP-DEL-9,20120723,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.460011,-164.677378,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage,http://static.gina.alaska.edu/geobotany/tfire/SP_DEL_9.JPG, ,,,
12729,SP-DEL-10,SP-DEL-10,20120723,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.459161,-164.679306,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,Percentage,http://static.gina.alaska.edu/geobotany/tfire/SP_DEL_10.JPG, ,,,
12730,SP-MP2-11,SP-MP2-11,20120724,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.436618,-164.647275,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_MP2_11.JPG,,,,
12731,SP-MP2-12,SP-MP2-12,20120724,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.436075,-164.645323,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_MP2_12.JPG,,,,
12732,SP-MP2-13,SP-MP2-13,20120724,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.436111,-164.6454339,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_MP2_13.JPG,,,,
12733,SP-MP2-14,SP-MP2-14,20120724,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.435701,-164.644497,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_MP2_14.JPG,,,,
12734,SP-MP2-15,SP-MP2-15,20120724,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.43526,-164.643607,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_MP2_15.JPG,,,,
12735,SP-MP3-16,SP-MP3-16,20120724,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.426127,-164.620363,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_MP3_16.JPG,,,,
12736,SP-MP3-17,SP-MP3-17,20120724,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.42687,-164.613731,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_MP3_17.JPG,,,,
12737,SP-MP3-18,SP-MP3-18,20120724,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.427187,-164.612632,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_MP3_18.JPG,,,,
12738,SP-MP3-19,SP-MP3-19,20120724,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.427501,-164.610609,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_MP3_19.JPG,,,,
12739,SP-MP3-20,SP-MP3-20,20120724,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.427935,-164.609645,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_MP3_20.JPG,,,,
12740,SP-FC-29,SP-FC-29,20120729,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.85274321,-160.3953028,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_FC_29.JPG,,,,
12741,SP-FC-30,SP-FC-30,20120729,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.85237801,-160.3947611,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_FC_30.JPG,,,,
12742,SP-FC-31,SP-FC-31,20120729,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.85233681,-160.3941006,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_FC_31.JPG,,,,
12743,SP-FC-32,SP-FC-32,20120729,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.85212438,-160.3935513,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_FC_32.JPG,,,,
12744,SP-FC-33,SP-FC-33,20120729,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.85192195,-160.3931913,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_FC_33.JPG,,,,
12745,SP-FC-34,SP-FC-34,20120729,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.85174421,-160.3929607,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_FC_34.JPG,,,,
12746,SP-FC-35,SP-FC-35,20120729,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.8498491,-160.3910416,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_FC_35.JPG,,,,
12747,SP-FC-36,SP-FC-36,20120729,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.84986411,-160.3913748,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_FC_36.JPG,,,,
12748,SP-FC-37,SP-FC-37,20120729,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.85004114,-160.3923509,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_FC_37.JPG,,,,
12749,SP-FC-38,SP-FC-38,20120729,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.84969559,-160.3929424,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_FC_38.JPG,,,,
12750,SP-BR-39,SP-BR-39,20120730,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.85508503,-160.4083969,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_BR_39.JPG,,,,
12751,SP-BR-40,SP-BR-40,20120730,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.85404534,-160.4100633,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_BR_40.JPG,,,,
12752,SP-BR-41,SP-BR-41,20120730,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.85390389,-160.4096595,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_BR_41.JPG,,,,
12753,SP-BR-42,SP-BR-42,20120730,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.85356698,-160.409807,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_BR_42.JPG,,,,
12754,SP-BR-43,SP-BR-43,20120730,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.85396488,-160.4103272,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_BR_43.JPG,,,,
12755,SP-UNB-21,SP-UNB-21,20120725,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.43201141,-164.686422,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_UNB_21.JPG,,,,
12756,SP-UNB-22,SP-UNB-22,20120725,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.43199069,-164.6850859,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_UNB_22.JPG,,,,
12757,SP-UNB-23,SP-UNB-23,20120725,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.43363231,-164.6764221,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_UNB_23.JPG,,,,
12758,SP-UNB-24,SP-UNB-24,20120725,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.43363795,-164.67487,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_UNB_24.JPG,,,,
12759,SP-UNB-25,SP-UNB-25,20120725,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.43383386,-164.6741778,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_UNB_25.JPG,,,,
12760,SP-UNB-26,SP-UNB-26,20120725,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.36120686,-164.6763458,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_UNB_26.JPG,,,,
12761,SP-UNB-27,SP-UNB-27,20120725,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.36100441,-164.6781755,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_UNB_27.JPG,,,,
12762,SP-UNB-28,SP-UNB-28,20120725,2012,Tundra Fire (Breen et al. 2015),Amy L. Breen,65.36107564,-164.6779167,Braun-Blanquet,TBD,Moist to wet acidic tussock and nontussock (Eriophorum vaginatum-Carex bigelowii-Sphagnum-Hylocomium) tundra,,TBD,,http://static.gina.alaska.edu/geobotany/tfire/SP_UNB_28.JPG,,,,
