Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3, 
30198,413,413,20040721,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22827778,-119.3005278,Field community name,Orthotrichum speciosum-Salix arctica community in xeromesic interpolygon areas at Mould Bay (subzone B).,"Dry zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/413_mouldbay_plot.jpg,,,
30199,414,414,20040720,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22805556,-119.2980278,Field community name,"Dominant Species: Lecanora epibryon, Hypogymnia subobscura, Luzula nivalis","Dry zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/414-415_mouldbay_plot.jpg,,,
30200,415,415,20040720,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22805556,-119.2980278,Field community name,Orthotrichum speciosum-Salix arctica community in xeromesic interpolygon areas at Mould Bay (subzone B).,"Dry zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/414-415_mouldbay_plot.jpg,,,
30201,416,416,20040721,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22569444,-119.29425,Field community name,"Dominant Speicies: Lecanora epibryon, Hypogymnia subobscura, Luzula nivalis","Dry zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/416_mouldbay_plot.jpg,,,
30202,417,417,20040721,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22569444,-119.29425,Field community name,"Dominant Speicies: Tortula ruralis, Sanionia uncinata, Salix arctica",Bryophyte and lichen vegetation on subneutral and calcareous soils,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/417_mouldbay_plot.jpg,,,
30203,418,418,20040721,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22569444,-119.29425,Field community name,Dominant Speicies: Bare,"Dry zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/418_mouldbay_plot.jpg,,,
30204,419,419,20040722,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22538889,-119.2945,Field community name,"Dominant Speicies: Black crust, Lepraria vouauxii, Protoblastenia siebenhaariana var. terricola, Thamnolia vermicularis","Dry zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/419_mouldbay_plot.jpg,,,
30205,420,420,20040722,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22538889,-119.2945,Field community name,"Dominant Speicies: Dryas integrifolia, Salix arctica, Luzula nivalis",Bryophyte and lichen vegetation on subneutral and calcareous soils,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/420_mouldbay_plot.jpg,,,
30206,421,421,20040722,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22538889,-119.2945,Field community name,Dominant Speicies: Bare,"Dry zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/421_mouldbay_plot.jpg,,,
30207,422,422,20040722,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22569444,-119.2948056,Field community name,"Dominant Speicies: Black crust, Lepraria vouauxii, Protoblastenia siebenhaariana var. terricola, Thamnolia vermicularis","Dry zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/422_mouldbay_plot.jpg,,,
30208,423,423,20040722,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22569444,-119.2948056,Field community name,"Dominant Speicies: Dryas integrifolia, Salix arctica, Luzula nivalis",Bryophyte and lichen vegetation on subneutral and calcareous soils,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/423_mouldbay_plot.jpg,,,
30209,424,424,20040722,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22569444,-119.2948056,Field community name,Dominant Speicies: Bare,"Dry zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/424_mouldbay_plot.jpg,,,
30210,425,425,20040721,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.2255,-119.2927222,Field community name,"Dominant Speicies: Black crust, Lepraria vouauxii, Protoblastenia siebenhaariana var. terricola, Thamnolia vermicularis","Dry zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/425_mouldbay_plot.jpg,,,
30211,426,426,20040721,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.2255,-119.2927222,Field community name,"Dominant Speicies: Dryas integrifolia, Salix arctica, Luzula nivalis",Bryophyte and lichen vegetation on subneutral and calcareous soils,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/426_mouldbay_plot.jpg,,,
30212,427,427,20040721,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.2255,-119.2927222,Field community name,Dominant Speicies: Bare,"Dry zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/427_mouldbay_plot.jpg,,,
30213,428,428,20040723,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22669444,-119.3235556,Field community name,"Salix arctica-Eriophorum angustifolium spp. triste community, Cetraria islandica ssp. islandica variant, in hygric earth hummocks at Mould Bay (subzone B).","Mesic zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/428_mouldbay_plot.jpg,,,
30214,429,429,20040723,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22669444,-119.3235556,Field community name,"Salix arctica-Eriophorum angustifolium spp. triste community, Oncophorus wahlenbergii variant, in hygric earth hummocks at Mould Bay (subzone B).","Mesic zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/429_mouldbay_plot.jpg,,,
30215,430,430,20040722,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22661111,-119.3229167,Field community name,"Salix arctica-Eriophorum angustifolium spp. triste community, Cetraria islandica ssp. islandica variant, in hygric earth hummocks at Mould Bay (subzone B).","Mesic zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/430_mouldbay_plot.jpg,,,
30216,431,431,20040722,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22661111,-119.3229167,Field community name,"Salix arctica-Eriophorum angustifolium spp. triste community, Oncophorus wahlenbergii variant, in hygric earth hummocks at Mould Bay (subzone B).","Mesic zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/431_mouldbay_plot.jpg,,,
30217,432,432,20040722,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22680556,-119.3229167,Field community name,"Salix arctica-Eriophorum angustifolium spp. triste community, Cetraria islandica ssp. islandica variant, in hygric earth hummocks at Mould Bay (subzone B).","Mesic zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/432_mouldbay_plot.jpg,,,
30218,433,433,20040722,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22680556,-119.3229167,Field community name,"Salix arctica-Eriophorum angustifolium spp. triste community, Oncophorus wahlenbergii variant, in hygric earth hummocks at Mould Bay (subzone B).","Mesic zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/433_mouldbay_plot.jpg,,,
30219,434,434,20040723,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22783333,-119.3336667,Field community name,"Cochlearia groenlandica-Luzula nivalis community, Cladonia pocillum variant, hydromesic earth hummocks at Mould Bay (subzone B).",Wet saline coastal marshes,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/434_mouldbay_plot.jpg,,,
30220,435,435,20040723,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22783333,-119.3336667,Field community name,"Cochlearia groenlandica-Luzula nivalis community, Orthothecium chryseon variant, hydromesic earth hummocks at Mould Bay (subzone B).",Wet saline coastal marshes,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/435_mouldbay_plot.jpg,,,
30221,436,436,20040723,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22780556,-119.3338056,Field community name,"Cochlearia groenlandica-Luzula nivalis community, Cladonia pocillum variant, hydromesic earth hummocks at Mould Bay (subzone B).",Wet saline coastal marshes,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/436_mouldbay_plot.jpg,,,
30222,437,437,20040723,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22780556,-119.3338056,Field community name,"Cochlearia groenlandica-Luzula nivalis community, Orthothecium chryseon variant, hydromesic earth hummocks at Mould Bay (subzone B).",Wet saline coastal marshes,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/437_mouldbay_plot.jpg,,,
30223,438,438,20040723,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22813889,-119.3328889,Field community name,"Cochlearia groenlandica-Luzula nivalis community, Cladonia pocillum variant, hydromesic earth hummocks at Mould Bay (subzone B).",Wet saline coastal marshes,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/438_mouldbay_plot.jpg,,,
30224,439,439,20040723,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.22813889,-119.3328889,Field community name,"Cochlearia groenlandica-Luzula nivalis community, Orthothecium chryseon variant, hydromesic earth hummocks at Mould Bay (subzone B).",Wet saline coastal marshes,,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/439_mouldbay_plot.jpg,,,
30225,440,440,20040724,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.2345,-119.3258056,Field community name,"Salix arctica-Eriophorum angustifolium spp. triste community, Cetraria islandica ssp. islandica variant, in hygric earth hummocks at Mould Bay (subzone B).","Mesic zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/440_mouldbay_plot.jpg,,,
30226,441,441,20040724,2004,"High Arctic Canada - Mould Bay, Prince Patrick Island (Vonlanthen et al. 2008)",Corinne Vonlanthen,76.2345,-119.3258056,Field community name,"Salix arctica-Eriophorum angustifolium spp. triste community, Oncophorus wahlenbergii variant, in hygric earth hummocks at Mould Bay (subzone B).","Mesic zonal habitats, base-rich soils, subzone B, C and D.",,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/mould_bay/441_mouldbay_plot.jpg,,,
