Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3
11441,BI-10,BI-10,19940809,1994,Legacy (Elias 1996),Donald A. Walker,70.126675,-143.627501,Field community name,Dryas integrifolia-Carex aquatilis,"Dry non-acidic coastal tundra (Dryas integrifolia, Salix rotundifolia, Ochrolechia frigida)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11442,BI-11,BI-11,19940810,1994,Legacy (Elias 1996),Donald A. Walker,70.125596,-143.642179,Field community name,Ochrolechia frigida-Dryas integrifolia,"Dry non-acidic coastal tundra (Dryas integrifolia, Salix rotundifolia, Ochrolechia frigida)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11443,BI-12,BI-12,19940810,1994,Legacy (Elias 1996),Donald A. Walker,70.125746,-143.645694,Field community name,"Eriophorum angustifolium-Carex aquatilis, Drepanocladus brevifolius","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11444,BI-13,BI-13,19940810,1994,Legacy (Elias 1996),Donald A. Walker,70.126118,-143.645838,Field community name,"Eriophorum angustifolium-Carex aquatilis, Drepanocladus brevifolius","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11445,BI-14,BI-14,19940810,1994,Legacy (Elias 1996),Donald A. Walker,70.126259,-143.646575,Field community name,"Eriophorum angustifolium-Carex aquatilis, Drepanocladus brevifolius","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11446,BI-15,BI-15,19940810,1994,Legacy (Elias 1996),Donald A. Walker,70.125733,-143.647253,Field community name,Carex aquatilis-Saxifraga cernua,"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11447,BI-16,BI-16,19940810,1994,Legacy (Elias 1996),Donald A. Walker,70.125828,-143.648152,Field community name,Ochrolechia frigida-Dryas integrifolia,"Dry non-acidic coastal tundra (Dryas integrifolia, Salix rotundifolia, Ochrolechia frigida)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11448,BI-17A,BI-17A,19940810,1994,Legacy (Elias 1996),Donald A. Walker,70.128454,-143.654223,Field community name,Ochrolechia frigida-Dryas integrifolia,"Dry non-acidic coastal tundra (Dryas integrifolia, Salix rotundifolia, Ochrolechia frigida)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11449,BI-17B,BI-17B,19940810,1994,Legacy (Elias 1996),Donald A. Walker,70.128454,-143.654223,Field community name,Ochrolechia frigida-Dryas integrifolia,"Dry non-acidic coastal tundra (Dryas integrifolia, Salix rotundifolia, Ochrolechia frigida)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11450,BI-18,BI-18,19940810,1994,Legacy (Elias 1996),Donald A. Walker,70.129662,-143.652038,Field community name,"Eriophorum angustifolium-Carex aquatilis, Drepanocladus brevifolius","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11451,BI-19,BI-19,19940811,1994,Legacy (Elias 1996),Donald A. Walker,70.129865,-143.66564,Field community name,Dryas integrifolia-Carex aquatilis,"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11452,BI-20,BI-20,19940811,1994,Legacy (Elias 1996),Donald A. Walker,70.130489,-143.665137,Field community name,"Eriophorum angustifolium-Carex aquatilis, Drepanocladus brevifolius","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11453,BI-21,BI-21,19940811,1994,Legacy (Elias 1996),Donald A. Walker,70.130489,-143.665985,Field community name,Arctophila fulva,Aquatic grass marshes (Arctophila fulva),,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11454,BI-22,BI-22,19940811,1994,Legacy (Elias 1996),Donald A. Walker,70.130037,-143.66661,Field community name,"Eriophorum angustifolium-Carex aquatilis, Drepanocladus brevifolius","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11455,BI-23,BI-23,19940811,1994,Legacy (Elias 1996),Donald A. Walker,70.130483,-143.668525,Field community name,"Eriophorum angustifolium-Carex aquatilis, Drepanocladus brevifolius","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11456,BI-24,BI-24,19940811,1994,Legacy (Elias 1996),Donald A. Walker,70.131003,-143.668512,Field community name,"Eriophorum angustifolium-Carex aquatilis, Drepanocladus brevifolius","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11457,BI-25,BI-25,19940811,1994,Legacy (Elias 1996),Donald A. Walker,70.131119,-143.669564,Field community name,Arctophila fulva,Aquatic grass marshes (Arctophila fulva),,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11458,BI-26,BI-26,19940808,1994,Legacy (Elias 1996),Donald A. Walker,70.133497,-143.598273,Field community name,Stellaria humifusa-Puccinellia phryganodes,"Puccinellia phryganodes, Carex subspathacea coastal salt marsh communities",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11459,BI-27,BI-27,19940808,1994,Legacy (Elias 1996),Donald A. Walker,70.133752,-143.5966,Field community name,"other saline, Oxytropis bryophila-Artemisia comata","Coastal communities influenced by saline soils (Puccinellia andersonii, Mertensia maritima, Honkenya peploides, Salix ovalifolia, Braya purpurascens, Cochlearia communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",Braun/Blanquet (old),,,
11460,BI-28,BI-28,19940811,1994,Legacy (Elias 1996),Donald A. Walker,70.130803,-143.66687,,Arctophila fulva,Aquatic grass marshes (Arctophila fulva),,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11461,B-1,B-1,19940801,1994,Legacy (Elias 1996),Donald A. Walker,71.326055,-156.626759,,"Sphaerophorus globosus-Luzula confusa, Saxifraga foliolosa",Dry coastal rush tundra (Luzula confusa),,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11462,B-2,B-2,19940801,1994,Legacy (Elias 1996),Donald A. Walker,71.326158,-156.628025,,"Sphaerophorus globosus-Luzula confusa, Saxifraga foliolosa","Coastal moist tundra (Carex stans, Carex atrofusca communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11463,B-3,B-3,19940801,1994,Legacy (Elias 1996),Donald A. Walker,71.325762,-156.625945,,Saxifraga cernua-Carex aquatilis,Dry coastal rush tundra (Luzula confusa),,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11464,B-4,B-4,19940801,1994,Legacy (Elias 1996),Donald A. Walker,71.32436,-156.619239,,"Sphaerophorus globosus-Luzula confusa, Saxifraga foliolosa",Dry coastal rush tundra (Luzula confusa),,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11465,B-5,B-5,19940802,1994,Legacy (Elias 1996),Donald A. Walker,71.323974,-156.619294,,Saxifraga cernua-Carex aquatilis,"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11466,B-6,B-6,19940802,1994,Legacy (Elias 1996),Donald A. Walker,71.323986,-156.617829,,"Sphaerophorus globosus-Luzula confusa, Salix rotundifolia",Dry coastal rush tundra (Luzula confusa),,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11467,B-7,B-7,19940802,1994,Legacy (Elias 1996),Donald A. Walker,71.323107,-156.617127,,"Sphaerophorus globosus-Luzula confusa, Salix rotundifolia",Dry coastal rush tundra (Luzula confusa),,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11468,B-8,B-8,19940802,1994,Legacy (Elias 1996),Donald A. Walker,71.323901,-156.611028,,"Sphaerophorus globosus-Luzula confusa, Salix rotundifolia",Dry coastal rush tundra (Luzula confusa),,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11469,B-9,B-9,19940802,1994,Legacy (Elias 1996),Donald A. Walker,71.324442,-156.611526,,Saxifraga cernua-Carex aquatilis,"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11470,B-10,B-10,19940802,1994,Legacy (Elias 1996),Donald A. Walker,71.325235,-156.607761,,Saxifraga cernua-Carex aquatilis,"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11471,B-11,B-11,19940802,1994,Legacy (Elias 1996),Donald A. Walker,71.325319,-156.606105,,"Eriophorum angustifolium-Carex aquatilis, Sarmenthypnum sarmentosum","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11472,B-12,B-12,19940803,1994,Legacy (Elias 1996),Donald A. Walker,71.326558,-156.60634,,Arctophila fulva,Aquatic grass marshes (Arctophila fulva),,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11473,B-13,B-13,19940803,1994,Legacy (Elias 1996),Donald A. Walker,71.327278,-156.606009,,"Sphaerophorus globosus-Luzula confusa, Saxifraga foliolosa",Dry coastal rush tundra (Luzula confusa),,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11474,B-14,B-14,19940803,1994,Legacy (Elias 1996),Donald A. Walker,71.328883,-156.611038,,Stellaria humifusa-Puccinellia phryganodes,"Puccinellia phryganodes, Carex subspathacea coastal salt marsh communities",,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11475,B-15,B-15,19940803,1994,Legacy (Elias 1996),Donald A. Walker,71.328585,-156.614332,,Stellaria humifusa-Puccinellia phryganodes,"Puccinellia phryganodes, Carex subspathacea coastal salt marsh communities",,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11476,B-16,B-16,19940803,1994,Legacy (Elias 1996),Donald A. Walker,71.328108,-156.614834,,Saxifraga cernua-Carex aquatilis,Moist to wet coastal tundra (Carex or Eriophorum mixed with Dupontia),,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11477,B-17,B-17,19940803,1994,Legacy (Elias 1996),Donald A. Walker,71.334004,-156.644316,,"Other saline, Phippsia algida-Dupontia fisheri","Coastal communities influenced by saline soils (Puccinellia andersonii, Mertensia maritima, Honkenya peploides, Salix ovalifolia, Braya purpurascens, Cochlearia communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11478,B-18,B-18,19940803,1994,Legacy (Elias 1996),Donald A. Walker,71.333501,-156.644036,,"Other saline, Puccinellia langeana-Stellaria humifusa","Coastal communities influenced by saline soils (Puccinellia andersonii, Mertensia maritima, Honkenya peploides, Salix ovalifolia, Braya purpurascens, Cochlearia communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11479,B-19,B-19,19940803,1994,Legacy (Elias 1996),Donald A. Walker,71.331585,-156/641085,,Stellaria humifusa-Puccinellia phryganodes,"Puccinellia phryganodes, Carex subspathacea coastal salt marsh communities",,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11480,B-20,B-20,19940803,1994,Legacy (Elias 1996),Donald A. Walker,71.329335,-156.638297,,Saxifraga cernua-Carex aquatilis,"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11481,B-21,B-21,19940803,1994,Legacy (Elias 1996),Donald A. Walker,71.329169,-156.637408,,"Sphaerophorus globosus-Luzula confusa, Salix rotundifolia",Dry coastal rush tundra (Luzula confusa),,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11482,B-22,B-22,19940803,1994,Legacy (Elias 1996),Donald A. Walker,71.328639,-156.637838,,Saxifraga cernua-Carex aquatilis,"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11483,B-23,B-23,19940804,1994,Legacy (Elias 1996),Donald A. Walker,71.326094,-156.636445,,Saxifraga cernua-Carex aquatilis,Moist to wet coastal tundra (Carex or Eriophorum mixed with Dupontia),,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11484,B-24,B-24,19940804,1994,Legacy (Elias 1996),Donald A. Walker,71.32528,-156.630243,,Arctophila fulva,Aquatic grass marshes (Arctophila fulva),,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11485,B-25,B-25,19940804,1994,Legacy (Elias 1996),Donald A. Walker,71.32499,-156.62961,,"Eriophorum angustifolium-Carex aquatilis, Sarmenthypnum sarmentosum","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11486,B-26,B-26,19940804,1994,Legacy (Elias 1996),Donald A. Walker,71.32456,-156.629045,,"Eriophorum angustifolium-Carex aquatilis, Sarmenthypnum sarmentosum","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11487,B-27,B-27,19940804,1994,Legacy (Elias 1996),Donald A. Walker,71.323778,-156.628715,,Arctophila fulva,Aquatic grass marshes (Arctophila fulva),,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11488,B-28,B-28,19940801,1994,Legacy (Elias 1996),Donald A. Walker,71.325518,-156.62662,,"Sphaerophorus globosus-Luzula confusa, Saxifraga foliolosa",Dry coastal rush tundra (Luzula confusa),,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11489,B-29,B-29,19940801,1994,Legacy (Elias 1996),Donald A. Walker,71.32265,-156.623909,,Saxifraga cernua-Carex aquatilis,"Coastal moist tundra (Carex stans, Carex atrofusca communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11490,B-30,B-30,19940801,1994,Legacy (Elias 1996),Donald A. Walker,71.324624,-156.621453,,"Sphaerophorus globosus-Luzula confusa, Saxifraga foliolosa",Dry coastal rush tundra (Luzula confusa),,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
11491,B-31,B-31,19940801,1994,Legacy (Elias 1996),Donald A. Walker,71.324256,-156.620504,,"Eriophorum angustifolium-Carex aquatilis, Sarmenthypnum sarmentosum","Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,"plot map, aerial photographs, soil descriptions, soil chemistry",,,,
