Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3
12642,B3T,,20120721,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.27975,-156.60304,Field community name,Wet Carex aquatilis - moss tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120624/B3T_24Jun2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120715/B3T_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120817/B3T_17Aug2012.jpg
12643,B4C,,20120721,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.27942,-156.60204,Field community name,"Dry Luzula arctica, Vaccinium vitis-idaea, lichen tundra",Dry coastal rush tundra (Luzula confusa),,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120624/B4C_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120715/B4C_15Jul2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120817/B4C_17Aug2012.jpg
12644,B4E,,20120721,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.27945,-156.60215,Field community name,"Moist Eriophorum spp., Dicranum spp. tundra","Coastal moist tundra (Carex stans, Saxifraga cernua communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120624/B4E_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120715/B4E_15Jul2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120817/B4E_17Aug2012.jpg
12645,B4T,,20120721,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.27947,-156.60217,Field community name,Wet Carex aquatilis - moss tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120624/B4T_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120715/B4T_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaB_20120817/B4T_17Aug2012.jpg
12646,C1C,,20120717,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.27972,-156.60106,Field community name,"Moist Eriophorum spp., Dicranum spp. tundra","Coastal moist tundra (Carex stans, Saxifraga cernua communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaC_20120624/C1C_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_site1_AreaC_15Jul2012/C1C_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Site1_AreaC_17Aug2012/C1C_17Aug2012.jpg
12647,C1E,,20120717,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.27969,-156.6012,Field community name,"Moist Eriophorum spp., Dicranum spp. tundra","Coastal moist tundra (Carex stans, Saxifraga cernua communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaC_20120624/C1E_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_site1_AreaC_15Jul2012/C1E_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Site1_AreaC_17Aug2012/C1E_17Aug2012.jpg
12648,C1T,,20120717,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.27967,-156.60113,Field community name,Wet Carex aquatilis - moss tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaC_20120624/C1T_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_site1_AreaC_15Jul2012/C1T_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Site1_AreaC_17Aug2012/C1T_17Aug2012-1.jpg
12649,C2C,,20120719,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28058,-156.59978,Field community name,"Moist Eriophorum spp., Dicranum spp. tundra","Coastal moist tundra (Carex stans, Saxifraga cernua communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaC_20120624/C2C_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_site1_AreaC_15Jul2012/C2C_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Site1_AreaC_17Aug2012/C2C_17Aug2012.jpg
12650,C2E,,20120719,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28056,-156.59968,Field community name,"Moist Eriophorum spp., Dicranum spp. tundra","Coastal moist tundra (Carex stans, Saxifraga cernua communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaC_20120624/C2E_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_site1_AreaC_15Jul2012/C2E_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Site1_AreaC_17Aug2012/C2E_17Aug2012.jpg
12651,C2T,,20120719,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28056,-156.59961,Field community name,Wet Carex aquatilis - moss tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaC_20120624/C2T_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_site1_AreaC_15Jul2012/C2T_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Site1_AreaC_17Aug2012/C2T_17Aug2012.jpg
12652,C3C,,20120717,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28035,-156.5998,Field community name,Wet Carex aquatilis tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaC_20120624/C3C_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_site1_AreaC_15Jul2012/C3C_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Site1_AreaC_17Aug2012/C3C_17Aug2012.jpg
12653,C3E,,20120719,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28037,-156.59996,Field community name,"Moist Eriophorum spp., Dicranum spp. tundra","Coastal moist tundra (Carex stans, Saxifraga cernua communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaC_20120624/C3E_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_site1_AreaC_15Jul2012/C3E_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Site1_AreaC_17Aug2012/C3E_17Aug2012.jpg
12654,C3T,,20120719,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28037,-156.60004,Field community name,Wet Carex aquatilis - moss tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/vegetation_plot_photos_Barrow_areaC_20120624/C3T_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_site1_AreaC_15Jul2012/C3T_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Site1_AreaC_17Aug2012/C3T_17Aug2012.jpg
12655,C4C,,20120719,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.27989,-156.59972,Field community name,Wet Carex aquatilis tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/C4C_17Aug2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_site1_AreaC_15Jul2012/C4C_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Site1_AreaC_17Aug2012/C4C_17Aug2012.jpg
12656,C4E,,20120717,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.27992,-156.59964,Field community name,"Moist Eriophorum spp., Dicranum spp. tundra","Coastal moist tundra (Carex stans, Saxifraga cernua communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/C4E_17Aug2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_site1_AreaC_15Jul2012/C4E_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Site1_AreaC_17Aug2012/C4E_17Aug2012.jpg
12657,C4T,,20120719,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.27993,-156.59957,Field community name,Wet Carex aquatilis - moss tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/C4T_17Aug2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_site1_AreaC_15Jul2012/C4T_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Site1_AreaC_17Aug2012/C4T_17Aug2012.jpg
12658,D1C,,20120717,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28179,-156.6004,Field community name,Wet Carex aquatilis tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Stie1_AreaD_24Jun2012/D1C_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Site1_AreaD_15Jul2012/D1C_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow-Site1_AreaD_17AUG2012/D1C_17Aug2012.jpg
12659,D1E,,20120717,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28176,-156.60042,Field community name,Wet Carex aquatilis - moss tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Stie1_AreaD_24Jun2012/D1E_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Site1_AreaD_15Jul2012/D1E_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow-Site1_AreaD_17AUG2012/D1E_17Aug2012.jpg
12660,D1T,,20120717,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28174,-156.60041,Field community name,Wet Carex aquatilis - moss tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Stie1_AreaD_24Jun2012/D1T_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Site1_AreaD_15Jul2012/D1T_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow-Site1_AreaD_17AUG2012/D1T_17Aug2012.jpg
12661,D2C,,20120720,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28198,-156.60039,Field community name,Wet Carex aquatilis tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Stie1_AreaD_24Jun2012/D2C_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Site1_AreaD_15Jul2012/D2C_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow-Site1_AreaD_17AUG2012/D2C_17Aug2012.jpg
12662,D2E,,20120720,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28204,-156.60042,Field community name,Wet Carex aquatilis - moss tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Stie1_AreaD_24Jun2012/D2E_24Jun2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Site1_AreaD_15Jul2012/D2E_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow-Site1_AreaD_17AUG2012/D2E_17Aug2012.jpg
12663,D2T,,20120720,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28206,-156.60041,Field community name,Wet Carex aquatilis - moss tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Stie1_AreaD_24Jun2012/D2T_24Jun2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Site1_AreaD_15Jul2012/D2T_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow-Site1_AreaD_17AUG2012/D2T_17Aug2012.jpg
12664,D3C,,20120720,2012,Barrow NGEE (Sloan 2014),Victoria L. Sloan,71.28216,-156.60145,Field community name,Wet Carex aquatilis tundra,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",,plot map,Percentage,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Stie1_AreaD_24Jun2012/D3C_24Jun2012.JPG,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow_Site1_AreaD_15Jul2012/D3C_15Jul2012.jpg,http://static.gina.alaska.edu/geobotany/barrow_ngee/Barrow-Site1_AreaD_17AUG2012/D3C_17Aug2012.jpg
