Turboveg releve number,Field releve number,Modified releve number for plot map,Date (year/month/day),Year plot surveyed,Dataset,Surveyed by (PI of project),lat,lon,System for plant community name,Plant community name,Habitat Type,Number of species,Ancillary data available,Cover abundance scale,image_url1,image_url2,image_url3,"species - these are the dataset taxa, not the PASL taxa"
11,SWT-11,11,19890803,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.623692,-149.600892,Field Name,Carex chordorrhiza-Carex rariflora,Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),11,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-11_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-11_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-11_soils.jpg,"Carex aquatilis, Carex atrofusca, Carex bigelowii, Carex chordorrhiza, Carex rariflora, Carex rotundata, Carex species, Eriophorum angustifolium, Eriophorum scheuchzeri s. scheuchzeri, Juncus triglumis, Pedicularis albolabiata"
12,SWT-12,12,19890804,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.624386,-149.601593,Field Name,Carex aquatilis-Eriporum angustifolium,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",5,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-12_plot.jpg,,,"Carex aquatilis, Carex chordorrhiza, Carex rotundata, Eriophorum angustifolium, Scorpidium scorpioides"
13,SWT-13,13,19890804,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.624502,-149.602524,Field Name,Carex aquatilis-Eriporum angustifolium,Aquatic grass  marshes (Arctophila fulva),9,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-13_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-13_soils.jpg,,"Carex aquatilis, Carex chordorrhiza, Carex loliacea, Carex rotundata, Eriophorum angustifolium, Juncus triglumis, Pedicularis albolabiata, Scorpidium scorpioides, Utricularia vulgaris s. macrorhiza"
14,SWT-14,14,19890804,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.62525,-149.602035,Field Name,Trichophorum caespitosum-Tomenthypnum nitens,"Dry acidic prostrate-shrub heaths (Arctous alpina, Salix phlebophylla, Empetrum heaths)",40,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-14_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-14_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-14_soils.jpg,"Andromeda polifolia, Arctous rubra, Asahinea chrysantha, Aulacomnium turgidum, Betula nana, Bistorta vivipara, Campylium stellatum v. arcticum, Carex atrofusca, Carex capillaris, Carex chordorrhiza, Carex fuliginosa s. misandra, Carex rotundata, Cetraria islandica, Cladonia amaurocraea, Cladonia mitis, Cladonia pyxidata, Cladonia rangiferina, Dactylina arctica, Ditrichum flexicaule, Eriophorum angustifolium, Flavocetraria cucullata, Huperzia appressa, Hylocomium splendens, Kobresia simpliciuscula, Limprichtia revolvens, Lophozia species, Oncophorus wahlenbergii, Pedicularis albolabiata, Pedicularis species, Ptilidium ciliare, Racomitrium lanuginosum, Salix fuscescens, Salix reticulata, Scapania species, Sphagnum girgensohnii, Sphagnum rubellum, Stereocaulon species, Tofieldia pusilla, Tomentypnum nitens, Trichophorum cespitosum [s. cespitosum]"
15,SWT-15,15,19890804,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.625227,-149.602051,Field Name,Carex chordorrhiza-Carex rariflora,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",8,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-15_plot.jpg,,,"Carex bigelowii, Carex chordorrhiza, Carex rotundata, Eriophorum angustifolium, Parnassia palustris, Pedicularis albolabiata, Scorpidium scorpioides, Trichophorum cespitosum [s. cespitosum]"
16,SWT-16,16,19890804,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.626139,-149.607513,Field Name,Carex podocarpa-Dodocatheon frigidum,Dry nonacidic alpine tundra (Dryas octopetala),40,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-16_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-16_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-16_soils.jpg,"Anemone parviflora, Anemone richardsonii, Arnica lessingii, Aulacomnium palustre, Bistorta plumosa, Bistorta vivipara, Boykinia richardsonii, Carex membranacea, Carex riishirensis, Cerastium beeringianum, Cetraria islandica, Chamerion latifolium, Cirriphyllum cirrosum, Cyrtomnium hymenophyllum, Dicranum spadiceum, Dodecatheon frigidum, Equisetum arvense, Equisetum scirpoides, Eriophorum angustifolium, Festuca altaica, Hylocomium splendens, Lagotis glauca s. minor, Micranthes nelsoniana, Parnassia palustris, Pedicularis capitata, Pedicularis interior, Peltigera aphthosa, Petasites frigidus, Philonotis fontana, Poa arctica, Polemonium acutiflorum, Polytrichum juniperinum, Rhytidium rugosum, Salix reticulata, Salix rotundifolia v. rotundifolia, Sanionia uncinata, Stereocaulon alpinum, Tofieldia pusilla, Tomentypnum nitens, Trisetum spicatum"
17,SWT-17,17,19890804,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.62511,-149.608764,Field Name,Poa glauca-Ranunculus pedatifidus,"Moist and dry acidic dwarf-shrub heaths (Vaccinium uliginosum, Empetrum nigrum, Ledum decumbens, some Betula nana-lichen heaths)",22,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-17_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-17_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-17_soils.jpg,"Abietinella abietina, Anemone lithophila, Arnica angustifolia s. alpina, Bistorta plumosa, Bryum algovicum, Bryum argenteum, Bupleurum triradiatum, Calliergon stramineum, Chamerion angustifolium, Dryas octopetala, Kobresia myosuroides, Micranthes reflexa, Mnium species, Pedicularis capitata, Poa arctica, Poa glauca, Potentilla arenosa s. arenosa, Rhytidium rugosum, Salix phlebophylla, Saxifraga tricuspidata, Stellaria longipes taxon laeta, Trisetum spicatum"
18,SWT-18,18,19890804,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.623914,-149.608642,Braun-Blanquet Name,Selaginello sibiricae-Dryadetum octopetalae Walker et al. 1994,Dry acidic tundra (Dryas octopetala),36,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-18_plot.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-18_soils.jpg,,"Alectoria ochroleuca, Androsace chamaejasme s. andersonii, Anemone lithophila, Antennaria friesiana, Arnica angustifolia s. alpina, Asahinea chrysantha, Bryocaulon divergens, Bupleurum triradiatum, Carex rupestris, Cladonia arbuscula s. lat., Dicranum groenlandicum, Dryas octopetala, Encalypta rhaptocarpa, Flavocetraria cucullata, Flavocetraria nivalis, Gowardia nigricans, Hypogymnia subobscura, Melanohalea septentrionalis, Micranthes reflexa, Minuartia obtusiloba, Oxytropis arctica, Pedicularis lanata, Pertusaria panyrga, Pertusaria species, Polytrichum hyperboreum, Polytrichum piliferum, Pseudephebe minuscula, Salix phlebophylla, Selaginella sibirica, Sphaerophorus globosus, Sphenolobus minutus, Stereocaulon alpinum, Stereocaulon condensatum, Thamnolia vermicularis s. subuliformis, Tritomaria quinquedentata, Vaccinium vitis-idaea s. minus"
19,SWT-19,19,19890805,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.62386,-149.607483,Braun-Blanquet Name,Carici microchaetae-Cassiopetum tetragonae Walker et al. 1994,"Wet nonacidic tundra (Carex spp., Eriophorum spp.-Amblystegiaceae communities)",60,,Braun/Blanquet (old),"http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-19_plot%20(%20background,%2020%20foreground).jpg",http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-19_plotclose-up.jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-19_soils.jpg,"Alectoria ochroleuca, Anemone parviflora, Arctous alpina, Arnica lessingii, Aulacomnium turgidum, Betula nana, Bistorta plumosa, Bryoerythrophyllum recurvirostre, Bryum species, Bupleurum triradiatum, Carex capillaris, Carex microchaeta, Carex scirpoidea, Cassiope tetragona [s. tetragona], Cetraria islandica, Cladonia acuminata, Cladonia amaurocraea, Cladonia arbuscula s. lat., Cladonia chlorophaea, Cladonia coccifera s. lat., Cladonia gracilis s. lat., Cladonia pleurota, Cladonia rangiferina, Cladonia uncialis, Dactylina arctica, Diapensia obovata, Dicranum groenlandicum, Dicranum undulatum, Dryas integrifolia, Dryas octopetala, Empetrum nigrum, Equisetum scirpoides, Flavocetraria cucullata, Geum glaciale, Huperzia appressa, Hylocomium splendens, Hypogymnia physodes, Kalmia procumbens, Masonhalea richardsonii, Nephroma expallidum, Oxytropis arctica, Pedicularis capitata, Pedicularis labradorica, Peltigera canina, Polytrichum juniperinum, Pyrola grandiflora, Rhododendron tomentosum s. decumbens, Rhytidium rugosum, Salix chamissonis, Salix glauca, Salix phlebophylla, Salix reticulata, Silene acaulis, Sphaerophorus globosus, Stellaria longipes taxon laeta, Stereocaulon alpinum, Thamnolia vermicularis s. subuliformis, Tofieldia pusilla, Vaccinium uliginosum, Vaccinium vitis-idaea s. minus"
20,SWT-20,20,19890805,1989,Toolik Lake vegetation (Walker and Barry 1991),Donald A. 'Skip' Walker,68.62383,-149.607361,Field Name,Cassiope tetragona-Geum glaciale,Willow shrub vegetation of riparian areas and warm habitats (south-facing slopes),56,,Braun/Blanquet (old),http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-20_plot%20(swt-19%20background).jpg,http://static.gina.alaska.edu/geobotany/Toolik_Photos/tooliklake_swt-20_soils.jpg,,"Alectoria ochroleuca, Anemone richardsonii, Asahinea chrysantha, Aulacomnium turgidum, Barbilophozia barbata, Betula nana, Bistorta plumosa, Bistorta vivipara, Bryum species, Calamagrostis inexpansa, Carex membranacea, Carex microchaeta, Carex scirpoidea, Cassiope tetragona [s. tetragona], Ceratodon purpureus, Cetraria islandica, Cladonia amaurocraea, Cladonia arbuscula s. lat., Cladonia rangiferina, Dactylina arctica, Dicranum acutifolium, Dicranum spadiceum, Ditrichum flexicaule, Dryas integrifolia, Equisetum arvense, Equisetum scirpoides, Flavocetraria cucullata, Flavocetraria nivalis, Geum glaciale, Hylocomium splendens, Kalmia procumbens, Luzula nivalis, Masonhalea richardsonii, Micranthes nelsoniana, Micranthes reflexa, Myurella julacea, Nephroma expallidum, Papaver macounii, Parrya nudicaulis, Pedicularis capitata, Pedicularis oederi, Peltigera aphthosa, Polytrichum juniperinum, Ptilidium ciliare, Rhytidium rugosum, Salix reticulata, Sanionia uncinata, Saussurea angustifolia, Silene acaulis, Sphaerophorus globosus, Stereocaulon alpinum, Sticta arctica, Thamnolia vermicularis s. subuliformis, Tofieldia pusilla, Tomentypnum nitens, Vaccinium uliginosum"
